Molecule,Atom,x_coord,y_coord,z_coord,sigma_iso,sigma_xx,sigma_yy,sigma_zz,dia_sigma_xx,dia_sigma_yy,dia_sigma_zz,para_sigma_xx,para_sigma_yy,para_sigma_zz,sigma_11,sigma_22,sigma_33,s_tot_symmetry,span,skew
KLaL_cation_pi_RCCE_opt_1p0.xyz,Nucleus 46H :,0.48968,-0.37756,-10.07614,24.28,20.75,26.33,25.76,70.85,-35.61,-70.68,-45.21,61.92,91.56,20.75,25.76,26.33,0,5.58,0.8
KLaL_cation_pi_RCCE_opt_1p0.xyz,Nucleus 48H :,-1.61623,-0.22215,-10.4753,23.78,28.21,22.77,20.37,65.75,-48.65,-12.39,-39.56,71.61,34.59,20.37,22.77,28.21,0,7.84,-0.39
KLaL_cation_pi_RCCE_opt_1p0.xyz,Nucleus 53H :,-1.78286,0.55559,-9.73755,30.89,38.53,29.87,24.27,12.73,116.54,97.3,11.86,-84.73,-61.03,24.27,29.87,38.53,0,14.26,-0.21
KLaL_cation_pi_RCCE_opt_1p0.xyz,Nucleus 55H :,-2.67282,-0.71904,-11.20753,27.89,21.28,25.14,37.26,-36.52,24.76,79.25,59.07,1.61,-44.48,21.28,25.14,37.26,0,15.98,-0.52
KLaL_cation_pi_RCCE_opt_1p0.xyz,Nucleus 56H :,-3.67284,-0.32653,-11.04041,28.33,36.59,21.26,27.15,-67.94,31.89,84.23,89.35,3.42,-55.95,21.26,27.15,36.59,0,15.33,-0.23
KLaL_cation_pi_RCCE_opt_1p0.xyz,Nucleus 58H :,-2.50759,-1.75085,-12.13052,30.98,38.68,29.79,24.48,14.71,46.13,107.72,-82.81,15.26,-8.05,24.48,29.79,38.68,0,14.2,-0.25
KLaL_cation_pi_RCCE_opt_1p0.xyz,Nucleus 60H :,-1.21105,-2.26606,-12.34584,27.89,37.23,21.3,25.13,89.92,61.97,22.08,-65.16,-35.15,10.0,21.3,25.13,37.23,0,15.93,-0.52
KLaL_cation_pi_RCCE_opt_1p0.xyz,Nucleus 61H :,2.06614,-2.26271,-14.33433,28.29,36.57,21.24,27.07,144.39,11.68,85.2,-122.61,15.86,-49.63,21.24,27.07,36.57,0,15.33,-0.24
KLaL_cation_pi_RCCE_opt_1p0.xyz,Nucleus 62H :,-3.05617,-3.70143,-15.43508,25.84,37.41,18.19,21.91,21.35,41.66,67.68,0.65,-12.5,-41.33,18.19,21.91,37.41,0,19.22,-0.61
KLaL_cation_pi_RCCE_opt_1p0.xyz,Nucleus 63H :,-0.20716,-3.15713,-16.57412,24.65,35.77,22.79,15.4,85.51,41.94,12.23,-51.82,-18.9,5.01,15.4,22.79,35.77,0,20.37,-0.27
KLaL_cation_pi_RCCE_opt_1p0.xyz,Nucleus 64H :,-3.64618,-2.26946,-12.97424,27.77,42.14,19.57,21.61,77.3,-19.68,7.95,-37.12,40.9,13.98,19.57,21.61,42.14,0,22.57,-0.82
KLaL_cation_pi_RCCE_opt_1p0.xyz,Nucleus 65H :,-4.58558,-2.02912,-12.46536,24.32,36.46,22.51,13.98,53.76,22.35,36.42,-34.12,2.77,-8.24,13.98,22.51,36.46,0,22.48,-0.24
KLaL_cation_pi_RCCE_opt_1p0.xyz,Nucleus 2C :,-3.63086,-3.36289,-13.04152,151.86,135.03,163.34,157.21,298.29,170.33,218.56,-8.95,-144.01,-78.62,135.03,157.21,163.34,0,28.31,0.57
KLaL_cation_pi_RCCE_opt_1p0.xyz,Nucleus 5C :,-3.67186,-1.63971,-14.35326,40.91,162.0,5.25,-44.51,300.14,264.0,273.91,-107.82,-291.44,-316.05,-44.51,5.25,162.0,0,206.51,-0.52
KLaL_cation_pi_RCCE_opt_1p0.xyz,Nucleus 6C :,-3.9616,-0.28059,-14.4534,49.35,165.21,-56.31,39.16,229.99,319.88,291.65,-82.17,-366.7,-244.58,-56.31,39.16,165.21,0,221.52,-0.14
KLaL_cation_pi_RCCE_opt_1p0.xyz,Nucleus 8C :,-4.26639,0.26235,-13.56389,56.5,176.76,-56.27,49.01,231.62,328.86,288.02,-78.24,-252.12,-348.65,-56.27,49.01,176.76,0,233.03,-0.1
KLaL_cation_pi_RCCE_opt_1p0.xyz,Nucleus 10C :,-3.86508,0.37227,-15.67146,46.25,165.78,34.11,-61.15,235.97,334.06,288.29,-107.94,-335.5,-276.14,-61.15,34.11,165.78,0,226.93,-0.16
KLaL_cation_pi_RCCE_opt_1p0.xyz,Nucleus 12C :,-4.13466,1.42199,-15.74103,40.46,163.65,-40.47,-1.81,229.68,311.37,269.25,-77.5,-330.76,-280.67,-40.47,-1.81,163.65,0,204.12,-0.62
KLaL_cation_pi_RCCE_opt_1p0.xyz,Nucleus 13C :,-3.41889,-0.29236,-16.78652,152.3,134.37,164.33,158.19,341.9,245.29,294.03,-89.66,-177.76,-156.92,134.37,158.19,164.33,0,29.96,0.59
KLaL_cation_pi_RCCE_opt_1p0.xyz,Nucleus 16C :,-3.30176,0.23385,-17.72915,43.28,160.77,-28.75,-2.18,316.94,250.39,267.13,-89.75,-345.22,-269.65,-28.75,-2.18,160.77,0,189.52,-0.72
KLaL_cation_pi_RCCE_opt_1p0.xyz,Nucleus 17C :,-3.10266,-1.66591,-16.73126,45.49,-59.56,39.59,156.44,347.67,285.0,260.99,-382.91,-247.2,-127.09,-59.56,39.59,156.44,0,216.0,-0.08
KLaL_cation_pi_RCCE_opt_1p0.xyz,Nucleus 19C :,-2.49736,-2.31516,-17.95972,60.82,175.56,52.83,-45.93,337.92,239.41,284.33,-109.2,-289.75,-280.26,-45.93,52.83,175.56,0,221.49,-0.11
KLaL_cation_pi_RCCE_opt_1p0.xyz,Nucleus 21C :,-2.47907,-3.407,-17.86462,49.53,-53.5,45.28,156.82,363.87,267.33,257.12,-394.82,-106.04,-238.86,-53.5,45.28,156.82,0,210.32,-0.06
KLaL_cation_pi_RCCE_opt_1p0.xyz,Nucleus 23C :,-3.14888,-2.11605,-18.81737,47.51,155.45,-30.05,17.12,322.99,289.34,263.27,-346.1,-273.88,-113.1,-30.05,17.12,155.45,0,185.5,-0.49
KLaL_cation_pi_RCCE_opt_1p0.xyz,Nucleus 24C :,-1.12737,-1.77181,-18.26735,19.95,120.82,9.79,-70.75,247.95,315.97,299.35,-153.68,-298.82,-350.92,-70.75,9.79,120.82,0,191.57,-0.16
KLaL_cation_pi_RCCE_opt_1p0.xyz,Nucleus 25C :,-0.91658,-0.74033,-19.18898,20.9,109.88,-60.01,12.82,219.68,276.97,292.31,-114.22,-346.56,-265.49,-60.01,12.82,109.88,0,169.89,-0.14
KLaL_cation_pi_RCCE_opt_1p0.xyz,Nucleus 28C :,-1.75776,-0.38293,-19.77633,152.74,135.47,164.66,158.09,327.72,216.34,273.92,-165.62,-73.45,-120.69,135.47,158.09,164.66,0,29.19,0.55
KLaL_cation_pi_RCCE_opt_1p0.xyz,Nucleus 31C :,0.34176,-0.19192,-19.37488,39.83,163.55,0.97,-45.02,214.14,279.83,251.38,-65.67,-246.42,-313.76,-45.02,0.97,163.55,0,208.57,-0.56
KLaL_cation_pi_RCCE_opt_1p0.xyz,Nucleus 32C :,0.49023,0.59144,-20.11041,45.7,165.46,-60.01,31.66,196.71,324.13,266.43,-102.11,-256.69,-291.36,-60.01,31.66,165.46,0,225.47,-0.19
KLaL_cation_pi_RCCE_opt_1p0.xyz,Nucleus 34C :,1.40802,-0.66952,-18.64383,51.44,177.97,-62.87,39.22,327.09,179.17,239.68,-49.32,-337.42,-204.89,-62.87,39.22,177.97,0,240.84,-0.15
KLaL_cation_pi_RCCE_opt_1p0.xyz,Nucleus 36C :,2.40209,-0.26185,-18.80495,45.53,166.13,30.73,-60.27,154.97,329.16,244.92,-46.86,-354.76,-190.84,-60.27,30.73,166.13,0,226.4,-0.2
KLaL_cation_pi_RCCE_opt_1p0.xyz,Nucleus 38C :,1.26331,-1.70665,-17.72336,41.64,163.25,-42.91,4.59,222.36,289.85,313.93,-119.49,-267.24,-314.48,-42.91,4.59,163.25,0,206.16,-0.54
KLaL_cation_pi_RCCE_opt_1p0.xyz,Nucleus 39C :,-0.02275,-2.248,-17.50932,153.73,136.73,165.87,158.59,271.13,143.64,193.68,16.13,-112.49,-50.89,136.73,158.59,165.87,0,29.14,0.5
KLaL_cation_pi_RCCE_opt_1p0.xyz,Nucleus 42C :,-3.29932,-2.31449,-15.5209,46.0,155.8,-32.08,14.28,169.52,228.9,272.6,-48.74,-255.28,-228.99,-32.08,14.28,155.8,0,187.88,-0.51
KLaL_cation_pi_RCCE_opt_1p0.xyz,Nucleus 43C :,-0.634,0.46673,-14.92549,47.26,-56.75,41.58,156.96,143.98,286.44,205.86,-296.52,-143.96,-54.01,-56.75,41.58,156.96,0,213.71,-0.08
KLaL_cation_pi_RCCE_opt_1p0.xyz,Nucleus 45C :,-0.61955,-0.02075,-14.04083,59.75,175.95,50.57,-47.26,301.43,215.68,207.73,-33.75,-164.08,-347.75,-47.26,50.57,175.95,0,223.21,-0.12
KLaL_cation_pi_RCCE_opt_1p0.xyz,Nucleus 47C :,-0.34639,2.44638,-16.01492,47.2,-56.3,41.3,156.59,165.41,297.92,229.7,-297.96,-180.27,-73.19,-56.3,41.3,156.59,0,212.89,-0.08
KLaL_cation_pi_RCCE_opt_1p0.xyz,Nucleus 49C :,-0.35573,3.45022,-16.04481,45.98,161.22,-24.69,1.4,230.23,260.05,277.45,-97.33,-246.26,-286.2,-24.69,1.4,161.22,0,185.91,-0.72
KLaL_cation_pi_RCCE_opt_1p0.xyz,Nucleus 50C :,-0.07021,1.95851,-16.85674,21.39,-71.02,13.96,121.24,136.79,249.12,269.47,-35.17,-240.01,-316.02,-71.02,13.96,121.24,0,192.26,-0.12
KLaL_cation_pi_RCCE_opt_1p0.xyz,Nucleus 51C :,-0.64706,1.78323,-14.92389,28.58,104.67,-56.94,38.02,156.99,296.3,268.98,-86.16,-226.94,-323.41,-56.94,38.02,104.67,0,161.61,0.18
KLaL_cation_pi_RCCE_opt_1p0.xyz,Nucleus 57C :,-0.16135,-0.00342,-15.68304,28.99,128.59,-29.17,-12.44,235.95,275.13,318.1,-117.83,-283.22,-341.16,-29.17,-12.44,128.59,0,157.76,-0.79
KLaL_cation_pi_RCCE_opt_1p0.xyz,Nucleus 52N :,-0.9608,2.43763,-13.83124,170.0,102.5,197.4,210.1,421.35,349.28,307.19,-280.77,-124.81,-162.24,102.5,197.4,210.1,0,107.6,0.76
KLaL_cation_pi_RCCE_opt_1p0.xyz,Nucleus 54N :,-0.9621,3.44135,-13.79599,179.48,230.46,182.29,125.7,210.82,321.01,381.91,-28.99,-201.53,-144.76,125.7,182.29,230.46,0,104.76,0.08
KLaL_cation_pi_RCCE_opt_1p0.xyz,Nucleus 59N :,-1.16151,1.94139,-12.97253,179.09,230.11,182.38,124.78,411.03,318.01,364.57,-224.17,-236.04,-96.14,124.78,182.38,230.11,0,105.33,0.09
KLaL_cation_pi_RCCE_opt_1p1.xyz,Nucleus 3H :,1.85056,-3.65399,-14.42354,27.72,34.44,25.01,23.72,-79.61,77.29,19.62,105.89,-46.96,6.94,23.72,25.01,34.44,0,10.72,-0.76
KLaL_cation_pi_RCCE_opt_1p1.xyz,Nucleus 4H :,-1.00867,-3.16908,-13.28325,26.89,23.41,27.28,29.98,-58.19,11.05,84.48,83.13,17.23,-57.03,23.41,27.28,29.98,0,6.57,0.18
KLaL_cation_pi_RCCE_opt_1p1.xyz,Nucleus 7H :,2.41198,-2.20461,-16.88088,24.37,29.1,23.3,20.71,-42.78,60.76,97.4,67.6,-35.4,-74.47,20.71,23.3,29.1,0,8.39,-0.38
KLaL_cation_pi_RCCE_opt_1p1.xyz,Nucleus 9H :,3.34765,-1.9455,-17.38756,24.82,21.68,25.93,26.84,7.21,95.66,71.28,18.67,-69.37,-48.99,21.68,25.93,26.84,0,5.16,0.65
KLaL_cation_pi_RCCE_opt_1p1.xyz,Nucleus 11H :,2.39691,-3.29532,-16.81784,24.27,29.15,20.59,23.06,134.21,59.65,32.55,-109.76,-34.62,-9.23,20.59,23.06,29.15,0,8.56,-0.42
KLaL_cation_pi_RCCE_opt_1p1.xyz,Nucleus 14H :,2.4252,-1.57784,-15.50033,26.24,23.06,29.55,26.1,16.76,93.67,70.44,9.29,-69.57,-41.9,23.06,26.1,29.55,0,6.49,-0.06
KLaL_cation_pi_RCCE_opt_1p1.xyz,Nucleus 15H :,2.68791,-0.21348,-15.39687,27.93,34.73,25.31,23.75,133.38,36.7,63.08,-106.7,-3.65,-39.02,23.75,25.31,34.73,0,10.98,-0.72
KLaL_cation_pi_RCCE_opt_1p1.xyz,Nucleus 18H :,2.98968,0.34051,-16.28164,23.72,28.1,22.64,20.41,124.63,87.26,37.78,-102.61,-64.97,-10.95,20.41,22.64,28.1,0,7.69,-0.42
KLaL_cation_pi_RCCE_opt_1p1.xyz,Nucleus 20H :,2.57849,0.43438,-14.17723,24.36,20.85,26.41,25.81,92.25,103.57,35.26,-66.18,-82.25,-9.57,20.85,25.81,26.41,0,5.56,0.78
KLaL_cation_pi_RCCE_opt_1p1.xyz,Nucleus 22H :,2.82822,1.48929,-14.10622,23.99,28.47,23.06,20.43,123.2,24.48,73.06,-100.01,3.0,-51.76,20.43,23.06,28.47,0,8.04,-0.35
KLaL_cation_pi_RCCE_opt_1p1.xyz,Nucleus 29H :,2.14561,-0.24168,-13.06379,27.55,34.36,24.88,23.41,127.59,8.52,29.88,-99.53,22.35,-6.17,23.41,24.88,34.36,0,10.95,-0.73
KLaL_cation_pi_RCCE_opt_1p1.xyz,Nucleus 30H :,2.02109,0.28044,-12.11936,27.0,23.38,27.56,30.07,4.56,90.8,64.38,22.8,-65.7,-35.84,23.38,27.56,30.07,0,6.69,0.25
KLaL_cation_pi_RCCE_opt_1p1.xyz,Nucleus 33H :,1.85668,-1.6211,-13.12241,24.12,28.96,20.57,22.83,130.74,20.08,4.63,-106.7,4.73,18.88,20.57,22.83,28.96,0,8.39,-0.46
KLaL_cation_pi_RCCE_opt_1p1.xyz,Nucleus 35H :,1.26442,-2.28521,-11.89554,24.54,21.35,25.54,26.74,92.16,-30.41,5.48,-66.51,55.64,17.26,21.35,25.54,26.74,0,5.39,0.56
KLaL_cation_pi_RCCE_opt_1p1.xyz,Nucleus 37H :,1.23472,-3.36627,-12.0504,24.2,29.19,20.59,22.83,-87.7,85.01,17.62,112.85,6.64,-61.81,20.59,22.83,29.19,0,8.6,-0.48
KLaL_cation_pi_RCCE_opt_1p1.xyz,Nucleus 40H :,1.91674,-2.09261,-11.03742,27.13,23.69,30.14,27.55,60.5,-70.48,-19.35,-32.09,94.18,48.62,23.69,27.55,30.14,0,6.45,0.2
KLaL_cation_pi_RCCE_opt_1p1.xyz,Nucleus 41H :,-0.11608,-1.76989,-11.58662,27.5,34.43,24.81,23.27,-114.43,58.05,-34.74,138.98,-24.33,58.98,23.27,24.81,34.43,0,11.16,-0.72
KLaL_cation_pi_RCCE_opt_1p1.xyz,Nucleus 44H :,-0.34726,-0.74504,-10.66249,23.84,28.31,22.84,20.38,61.14,-88.25,-38.49,-35.47,110.01,62.6,20.38,22.84,28.31,0,7.93,-0.38
KLaL_cation_pi_RCCE_opt_1p1.xyz,Nucleus 46H :,0.48968,-0.37756,-10.07614,24.29,20.78,26.35,25.74,70.63,-35.81,-71.32,-45.01,62.14,92.24,20.78,25.74,26.35,0,5.57,0.78
KLaL_cation_pi_RCCE_opt_1p1.xyz,Nucleus 48H :,-1.61623,-0.22215,-10.4753,23.79,28.22,22.76,20.4,65.7,-48.19,-13.0,-39.55,71.17,35.25,20.4,22.76,28.22,0,7.82,-0.4
KLaL_cation_pi_RCCE_opt_1p1.xyz,Nucleus 53H :,-1.78286,0.55559,-9.73755,30.85,38.45,29.59,24.5,12.86,116.98,97.56,11.95,-85.63,-61.17,24.5,29.59,38.45,0,13.95,-0.27
KLaL_cation_pi_RCCE_opt_1p1.xyz,Nucleus 55H :,-2.67282,-0.71904,-11.20753,27.84,21.21,25.08,37.22,-37.52,24.58,78.37,59.97,1.74,-43.63,21.21,25.08,37.22,0,16.01,-0.52
KLaL_cation_pi_RCCE_opt_1p1.xyz,Nucleus 56H :,-3.67284,-0.32653,-11.04041,28.22,36.34,21.16,27.15,-69.02,31.21,82.77,90.33,3.76,-54.4,21.16,27.15,36.34,0,15.18,-0.21
KLaL_cation_pi_RCCE_opt_1p1.xyz,Nucleus 58H :,-2.50759,-1.75085,-12.13052,30.94,38.62,29.49,24.7,14.51,45.64,106.47,-81.31,15.16,-7.66,24.7,29.49,38.62,0,13.92,-0.31
KLaL_cation_pi_RCCE_opt_1p1.xyz,Nucleus 60H :,-1.21105,-2.26606,-12.34584,27.83,37.2,21.22,25.07,89.01,61.35,22.02,-64.27,-34.61,9.99,21.22,25.07,37.2,0,15.98,-0.52
KLaL_cation_pi_RCCE_opt_1p1.xyz,Nucleus 61H :,2.06614,-2.26271,-14.33433,28.18,36.32,21.13,27.08,144.66,12.18,84.45,-122.99,15.4,-49.17,21.13,27.08,36.32,0,15.19,-0.22
KLaL_cation_pi_RCCE_opt_1p1.xyz,Nucleus 62H :,-3.05617,-3.70143,-15.43508,25.83,37.43,18.15,21.9,21.2,41.55,67.69,0.9,-12.4,-41.45,18.15,21.9,37.43,0,19.28,-0.61
KLaL_cation_pi_RCCE_opt_1p1.xyz,Nucleus 63H :,-0.20716,-3.15713,-16.57412,24.66,35.78,22.83,15.37,85.59,42.13,11.97,-51.92,-18.99,5.18,15.37,22.83,35.78,0,20.41,-0.27
KLaL_cation_pi_RCCE_opt_1p1.xyz,Nucleus 64H :,-3.64618,-2.26946,-12.97424,27.78,42.12,19.59,21.62,77.39,-19.74,7.91,-37.22,40.97,14.02,19.59,21.62,42.12,0,22.53,-0.82
KLaL_cation_pi_RCCE_opt_1p1.xyz,Nucleus 65H :,-4.58558,-2.02912,-12.46536,24.32,36.47,22.55,13.93,53.97,22.83,36.02,-34.37,2.23,-7.74,13.93,22.55,36.47,0,22.54,-0.24
KLaL_cation_pi_RCCE_opt_1p1.xyz,Nucleus 2C :,-3.63086,-3.36289,-13.04152,151.83,135.0,163.33,157.16,298.3,170.41,217.75,-9.01,-143.98,-77.98,135.0,157.16,163.33,0,28.33,0.56
KLaL_cation_pi_RCCE_opt_1p1.xyz,Nucleus 5C :,-3.67186,-1.63971,-14.35326,40.68,161.96,4.8,-44.72,301.45,265.1,272.49,-107.6,-293.09,-316.31,-44.72,4.8,161.96,0,206.68,-0.52
KLaL_cation_pi_RCCE_opt_1p1.xyz,Nucleus 6C :,-3.9616,-0.28059,-14.4534,49.61,165.15,-55.94,39.62,232.41,319.68,290.65,-83.73,-366.28,-243.91,-55.94,39.62,165.15,0,221.09,-0.14
KLaL_cation_pi_RCCE_opt_1p1.xyz,Nucleus 8C :,-4.26639,0.26235,-13.56389,56.63,176.64,-56.13,49.38,233.56,326.98,287.73,-79.4,-250.53,-348.44,-56.13,49.38,176.64,0,232.77,-0.09
KLaL_cation_pi_RCCE_opt_1p1.xyz,Nucleus 10C :,-3.86508,0.37227,-15.67146,46.47,165.71,34.51,-60.8,236.39,332.42,287.96,-107.86,-334.22,-275.28,-60.8,34.51,165.71,0,226.51,-0.16
KLaL_cation_pi_RCCE_opt_1p1.xyz,Nucleus 12C :,-4.13466,1.42199,-15.74103,40.22,163.61,-40.66,-2.29,230.03,310.15,269.01,-77.56,-330.35,-280.63,-40.66,-2.29,163.61,0,204.27,-0.62
KLaL_cation_pi_RCCE_opt_1p1.xyz,Nucleus 13C :,-3.41889,-0.29236,-16.78652,152.27,134.34,164.32,158.14,342.13,245.08,294.59,-89.47,-177.99,-157.53,134.34,158.14,164.32,0,29.98,0.59
KLaL_cation_pi_RCCE_opt_1p1.xyz,Nucleus 16C :,-3.30176,0.23385,-17.72915,43.21,160.74,-28.83,-2.27,316.98,250.85,269.2,-90.32,-345.39,-271.68,-28.83,-2.27,160.74,0,189.57,-0.72
KLaL_cation_pi_RCCE_opt_1p1.xyz,Nucleus 17C :,-3.10266,-1.66591,-16.73126,45.56,-59.54,39.85,156.38,346.89,285.46,261.22,-381.93,-247.61,-127.35,-59.54,39.85,156.38,0,215.92,-0.08
KLaL_cation_pi_RCCE_opt_1p1.xyz,Nucleus 19C :,-2.49736,-2.31516,-17.95972,60.95,175.47,53.18,-45.8,338.17,240.53,284.78,-109.61,-290.59,-280.43,-45.8,53.18,175.47,0,221.27,-0.11
KLaL_cation_pi_RCCE_opt_1p1.xyz,Nucleus 21C :,-2.47907,-3.407,-17.86462,49.58,-53.51,45.5,156.75,363.03,267.26,258.34,-394.65,-106.58,-238.64,-53.51,45.5,156.75,0,210.26,-0.06
KLaL_cation_pi_RCCE_opt_1p1.xyz,Nucleus 23C :,-3.14888,-2.11605,-18.81737,47.53,155.41,-29.98,17.15,321.89,289.56,264.45,-345.32,-273.93,-114.06,-29.98,17.15,155.41,0,185.39,-0.49
KLaL_cation_pi_RCCE_opt_1p1.xyz,Nucleus 24C :,-1.12737,-1.77181,-18.26735,19.79,120.75,9.6,-70.98,246.79,317.47,302.26,-152.51,-300.34,-354.29,-70.98,9.6,120.75,0,191.73,-0.16
KLaL_cation_pi_RCCE_opt_1p1.xyz,Nucleus 25C :,-0.91658,-0.74033,-19.18898,20.81,109.82,-60.19,12.8,219.01,277.8,292.19,-114.08,-265.7,-346.78,-60.19,12.8,109.82,0,170.01,-0.14
KLaL_cation_pi_RCCE_opt_1p1.xyz,Nucleus 28C :,-1.75776,-0.38293,-19.77633,152.72,135.48,164.66,158.03,327.78,216.56,274.0,-165.64,-73.47,-121.06,135.48,158.03,164.66,0,29.18,0.55
KLaL_cation_pi_RCCE_opt_1p1.xyz,Nucleus 31C :,0.34176,-0.19192,-19.37488,39.7,163.52,0.61,-45.04,213.69,279.97,250.89,-65.38,-246.2,-313.87,-45.04,0.61,163.52,0,208.56,-0.56
KLaL_cation_pi_RCCE_opt_1p1.xyz,Nucleus 32C :,0.49023,0.59144,-20.11041,45.84,165.4,-59.77,31.88,198.52,323.4,266.01,-102.5,-256.47,-291.46,-59.77,31.88,165.4,0,225.17,-0.19
KLaL_cation_pi_RCCE_opt_1p1.xyz,Nucleus 34C :,1.40802,-0.66952,-18.64383,51.46,177.87,-62.82,39.34,326.62,180.65,239.19,-50.18,-336.98,-204.91,-62.82,39.34,177.87,0,240.69,-0.15
KLaL_cation_pi_RCCE_opt_1p1.xyz,Nucleus 36C :,2.40209,-0.26185,-18.80495,45.66,166.06,30.92,-60.01,157.54,328.66,245.55,-48.56,-354.8,-191.42,-60.01,30.92,166.06,0,226.07,-0.2
KLaL_cation_pi_RCCE_opt_1p1.xyz,Nucleus 38C :,1.26331,-1.70665,-17.72336,41.53,163.22,-42.91,4.27,222.64,290.26,315.18,-119.92,-268.1,-315.48,-42.91,4.27,163.22,0,206.13,-0.54
KLaL_cation_pi_RCCE_opt_1p1.xyz,Nucleus 39C :,-0.02275,-2.248,-17.50932,153.72,136.75,165.87,158.53,271.0,143.81,194.11,16.09,-112.44,-51.43,136.75,158.53,165.87,0,29.12,0.5
KLaL_cation_pi_RCCE_opt_1p1.xyz,Nucleus 42C :,-3.29932,-2.31449,-15.5209,46.03,155.76,-31.99,14.33,272.49,228.21,170.49,-48.08,-256.49,-228.51,-31.99,14.33,155.76,0,187.75,-0.51
KLaL_cation_pi_RCCE_opt_1p1.xyz,Nucleus 43C :,-0.634,0.56673,-14.92549,47.34,-56.71,41.83,156.9,145.54,286.06,206.07,-295.91,-146.02,-53.72,-56.71,41.83,156.9,0,213.61,-0.08
KLaL_cation_pi_RCCE_opt_1p1.xyz,Nucleus 45C :,-0.61955,0.07925,-14.04083,59.87,175.86,50.9,-47.15,299.51,215.61,206.83,-33.35,-163.48,-345.51,-47.15,50.9,175.86,0,223.01,-0.12
KLaL_cation_pi_RCCE_opt_1p1.xyz,Nucleus 47C :,-0.34639,2.54638,-16.01492,47.25,-56.31,41.52,156.53,166.61,296.72,229.23,-296.93,-180.89,-72.99,-56.31,41.52,156.53,0,212.84,-0.08
KLaL_cation_pi_RCCE_opt_1p1.xyz,Nucleus 49C :,-0.35573,3.55022,-16.04481,45.9,161.19,-24.8,1.3,230.38,259.94,273.39,-96.68,-245.28,-284.06,-24.8,1.3,161.19,0,185.99,-0.72
KLaL_cation_pi_RCCE_opt_1p1.xyz,Nucleus 50C :,-0.07021,2.05851,-16.85674,21.26,-71.21,13.8,121.18,134.83,245.43,268.27,-34.79,-237.93,-312.03,-71.21,13.8,121.18,0,192.39,-0.12
KLaL_cation_pi_RCCE_opt_1p1.xyz,Nucleus 51C :,-0.64706,1.88323,-14.92389,28.59,104.63,-56.91,38.06,157.01,296.52,268.81,-86.12,-226.9,-323.54,-56.91,38.06,104.63,0,161.54,0.18
KLaL_cation_pi_RCCE_opt_1p1.xyz,Nucleus 57C :,-0.16135,0.09658,-15.68304,29.0,128.21,-28.82,-12.4,235.58,274.72,317.51,-117.84,-282.65,-340.32,-28.82,-12.4,128.21,0,157.03,-0.79
KLaL_cation_pi_RCCE_opt_1p1.xyz,Nucleus 52N :,-0.9608,2.53763,-13.83124,169.42,101.98,196.92,209.37,421.37,348.92,307.65,-280.93,-126.29,-162.45,101.98,196.92,209.37,0,107.39,0.77
KLaL_cation_pi_RCCE_opt_1p1.xyz,Nucleus 54N :,-0.9621,3.54135,-13.79599,179.66,230.85,182.28,125.85,209.71,320.77,380.97,-27.88,-200.57,-144.02,125.85,182.28,230.85,0,105.0,0.07
KLaL_cation_pi_RCCE_opt_1p1.xyz,Nucleus 59N :,-1.16151,2.04139,-12.97253,179.26,230.48,182.38,124.92,410.72,318.06,363.84,-223.82,-235.3,-95.71,124.92,182.38,230.48,0,105.56,0.09
KLaL_cation_pi_RCCE_opt_1p2.xyz,Nucleus 3H :,1.85056,-3.65399,-14.42354,27.73,34.42,25.03,23.74,-79.39,77.38,19.12,105.67,-47.03,7.45,23.74,25.03,34.42,0,10.68,-0.76
KLaL_cation_pi_RCCE_opt_1p2.xyz,Nucleus 4H :,-1.00867,-3.16908,-13.28325,26.89,23.43,27.27,29.97,-58.42,10.62,84.49,83.37,17.68,-57.06,23.43,27.27,29.97,0,6.54,0.17
KLaL_cation_pi_RCCE_opt_1p2.xyz,Nucleus 7H :,2.41198,-2.20461,-16.88088,24.38,29.13,23.28,20.73,-41.43,59.96,97.22,66.23,-34.56,-74.29,20.73,23.28,29.13,0,8.4,-0.39
KLaL_cation_pi_RCCE_opt_1p2.xyz,Nucleus 9H :,3.34765,-1.9455,-17.38756,24.83,21.75,25.88,26.86,8.06,95.24,71.12,17.82,-68.96,-48.8,21.75,25.88,26.86,0,5.11,0.62
KLaL_cation_pi_RCCE_opt_1p2.xyz,Nucleus 11H :,2.39691,-3.29532,-16.81784,24.27,29.18,20.61,23.03,133.02,60.38,32.47,-108.59,-35.31,-9.16,20.61,23.03,29.18,0,8.57,-0.43
KLaL_cation_pi_RCCE_opt_1p2.xyz,Nucleus 14H :,2.4252,-1.57784,-15.50033,26.24,23.07,29.56,26.08,16.68,94.02,70.68,9.36,-69.9,-42.13,23.07,26.08,29.56,0,6.49,-0.07
KLaL_cation_pi_RCCE_opt_1p2.xyz,Nucleus 15H :,2.68791,-0.21348,-15.39687,27.94,34.71,25.33,23.77,133.32,36.61,63.32,-106.63,-3.57,-39.25,23.77,25.33,34.71,0,10.94,-0.72
KLaL_cation_pi_RCCE_opt_1p2.xyz,Nucleus 18H :,2.98968,0.34051,-16.28164,23.72,28.1,22.63,20.43,124.27,87.45,37.81,-102.25,-65.11,-10.99,20.43,22.63,28.1,0,7.67,-0.43
